Commit,Date,Test,Checks,Bandwidth (mean),Bandwidth (median),Bandwidth (min),Bandwidth (max),Bandwidth (stddev),Throughput (mean),Throughput (median),Throughput (min),Throughput (max),Throughput (stddev),Latency (mean),Latency (median),Latency (min),Latency (max),Latency (stddev),Test Path
7e6b95b65dcb69d511057cd3d8b565db1e1227e6,2026-04-27 21:03:51,M_128-K_128-num_aie_columns_1-tile_size_input_32-tile_size_output_128,5/5,0.089799462,0.09941748,0.06502375,0.1019595,0.015951761870276897,0.088417936,0.09788798,0.06402338,0.1003909,0.01570635684134548,,,,,,n/a
5503a9566e74d9b7c3221a857d903c0e3b1b7a98,2026-05-11 23:33:39,M_128-K_128-num_aie_columns_1-tile_size_input_32-tile_size_output_128,5/5,0.084790896,0.08246646,0.05796708,0.1178758,0.02377062981661256,0.083486436,0.08119775,0.05707528,0.1160624,0.0234049546653167,,,,,,iron/operators/gemv/test.py::test_gemv
4d4b803c99fe896d0f08aba5dcc86a8f319c18a5,2026-06-22 17:55:05,M_128-K_128-num_aie_columns_1-tile_size_input_32-tile_size_output_128,5/5,0.089715252,0.0741609,0.05078032,0.1322293,0.03382878696078415,0.08833503,0.07301996,0.04999908,0.130195,0.033308360817231764,,,,,,iron/operators/gemv/test.py::test_gemv
7e6b95b65dcb69d511057cd3d8b565db1e1227e6,2026-04-27 21:03:51,M_192-K_384-N_64-num_aie_columns_4-b_col_maj_False-c_col_maj_False-m_48-k_96-n_16-trace_size_0-partition_N_1,5/5,0.43052325999999996,0.3565603,0.1257851,0.9475429,0.30669623499278237,18.368992,15.21324,5.36683,40.4285,13.085707603968919,768.24,620.3,233.4,1758.4,578.4896827083436,n/a
5503a9566e74d9b7c3221a857d903c0e3b1b7a98,2026-05-11 23:33:39,M_192-K_384-N_64-num_aie_columns_4-b_col_maj_False-c_col_maj_False-m_48-k_96-n_16-trace_size_0-partition_N_1,5/5,0.40805764,0.4204947,0.2543441,0.6506388,0.1638533322330919,17.41046,17.94111,10.85202,27.76059,6.9910748875941815,615.24,526.0,339.9,869.6,236.44744236299113,iron/operators/gemm/test.py::test_gemm
4d4b803c99fe896d0f08aba5dcc86a8f319c18a5,2026-06-22 17:55:05,M_192-K_384-N_64-num_aie_columns_4-b_col_maj_False-c_col_maj_False-m_48-k_96-n_16-trace_size_0-partition_N_1,5/5,0.50489644,0.5107067,0.4658643,0.5428414,0.035705212257008095,21.542248,21.79015,19.87688,23.16123,1.5234202041524851,439.86,433.1,407.5,474.8,31.389536473162515,iron/operators/gemm/test.py::test_gemm
7e6b95b65dcb69d511057cd3d8b565db1e1227e6,2026-04-27 21:03:51,M_192-K_384-N_64-num_aie_columns_4-b_col_maj_True-c_col_maj_True-m_48-k_96-n_16-trace_size_0-partition_N_1,5/5,0.42815416,0.4331497,0.1778866,0.6326086,0.17890928055764183,18.2679096,18.48105,7.589828,26.9913,7.633463670459879,629.78,510.6,349.6,1243.4,361.6158210034512,n/a
5503a9566e74d9b7c3221a857d903c0e3b1b7a98,2026-05-11 23:33:39,M_192-K_384-N_64-num_aie_columns_4-b_col_maj_True-c_col_maj_True-m_48-k_96-n_16-trace_size_0-partition_N_1,5/5,0.5168568,0.4250032,0.3491014,0.7773252,0.19560898938755347,22.052556,18.13347,14.89499,33.16588,8.34598674674421,476.22,520.4,284.5,633.6,161.2636722885846,iron/operators/gemm/test.py::test_gemm
4d4b803c99fe896d0f08aba5dcc86a8f319c18a5,2026-06-22 17:55:05,M_192-K_384-N_64-num_aie_columns_4-b_col_maj_True-c_col_maj_True-m_48-k_96-n_16-trace_size_0-partition_N_1,5/5,0.42132268,0.5242532,0.1240068,0.6120555,0.2042094107217319,17.976437400000002,22.36814,5.290957,26.11437,8.712935177951733,742.56,421.9,361.4,1783.6,601.4638999973315,iron/operators/gemm/test.py::test_gemm
7e6b95b65dcb69d511057cd3d8b565db1e1227e6,2026-04-27 21:03:51,M_2048-K_2048-N_2048-num_aie_columns_1-b_col_maj_False-c_col_maj_False-m_64-k_64-n_64-trace_size_0-partition_N_1,5/5,0.30444504,0.3052088,0.2977755,0.3109221,0.0047591373964196325,207.83446,208.3558,203.2814,212.2562,3.248917374757326,82677.52,82454.5,80939.3,84512.8,1294.2268761697078,n/a
